Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_50,MA_200,MA_diff,crossover,RSI,MA_20,Std_20,Signal,Stop_Loss,Position_Size,Returns,Strategy_Returns,Returns_10
2000-01-18,1465.1500244140625,1465.1500244140625,1451.300048828125,1455.1400146484375,1056700000,0.0,0.0,,,,0,,,,0,1382.3830139160157,0.03,-0.00683207152771137,-0.0,-5.494430828134611e-05
2000-01-19,1455.1400146484375,1461.3900146484375,1448.6800537109375,1455.9000244140625,1087800000,0.0,0.0,,,,0,,,,1,1383.1050231933593,0.03,0.0005222932212531894,0.0,0.04035956231519955
2000-01-20,1455.9000244140625,1465.7099609375,1438.5400390625,1445.5699462890625,1100700000,0.0,0.0,,,,0,,,,1,1373.2914489746092,0.03,-0.007095321074094607,-0.007095321074094607,0.030996113993584373
2000-01-21,1445.5699462890625,1453.1800537109375,1439.5999755859375,1441.3599853515625,1209800000,0.0,0.0,,,,0,46.49185198551272,,,1,1369.2919860839843,0.03,-0.0029123190810015354,-0.0029123190810015354,0.027012031421592697
2000-01-24,1441.3599853515625,1454.0899658203125,1395.4200439453125,1401.530029296875,1115800000,0.0,0.0,,,,0,38.69065801883639,,,-1,1331.453527832031,0.03,-0.027633593591799732,-0.027633593591799732,-0.027707785953229425
2000-01-25,1401.530029296875,1414.260009765625,1388.489990234375,1410.030029296875,1073700000,0.0,0.0,,,,0,52.79107390692546,,,-1,1339.5285278320312,0.03,0.006064800483985611,-0.006064800483985611,-0.032635803434299615
2000-01-26,1410.030029296875,1412.72998046875,1400.1600341796875,1404.0899658203125,1117300000,0.0,0.0,,,,0,50.51209905043828,,,-1,1333.8854675292969,0.03,-0.00421272125638672,0.00421272125638672,-0.023961524975977255
2000-01-27,1404.0899658203125,1418.8599853515625,1370.989990234375,1398.56005859375,1129500000,0.0,0.0,,,,0,48.7621152507846,,,-1,1328.6320556640624,0.03,-0.00393842799334565,0.00393842799334565,-0.023522388833129737
2000-01-28,1398.56005859375,1398.56005859375,1356.199951171875,1360.1600341796875,1095800000,0.0,0.0,,,,0,29.455775808625546,,,-1,1292.152032470703,0.03,-0.027456829027902918,0.027456829027902918,-0.06175157014962973
2000-01-31,1360.1600341796875,1394.47998046875,1350.1400146484375,1394.4599609375,993800000,0.0,0.0,,,,0,35.388310377109576,1425.5855041503905,28.967155568428385,-1,1324.736962890625,0.03,0.025217566974388372,-0.025217566974388372,-0.048247662217957954
2000-02-01,1394.4599609375,1412.489990234375,1384.7900390625,1409.280029296875,981000000,0.0,0.0,,,,0,43.08911981947615,1423.288507080078,28.30749289340945,-1,1338.8160278320313,0.03,0.01062781920924527,-0.01062781920924527,-0.031515857505054146
2000-02-02,1409.280029296875,1420.6099853515625,1403.489990234375,1409.1199951171875,1038600000,0.0,0.0,,,,0,44.377461776259295,1423.773504638672,27.957964377453457,-1,1338.663995361328,0.03,-0.00011355740261742575,0.00011355740261742575,-0.03213134728512834
2000-02-03,1409.1199951171875,1425.780029296875,1398.52001953125,1424.969970703125,1146500000,0.0,0.0,,,,0,43.94687061359309,1424.91650390625,27.48904297228924,0,1353.7214721679686,0.03,0.011248137590027962,-0.011248137590027962,-0.014250417725423792
2000-02-04,1424.969970703125,1435.9100341796875,1420.6300048828125,1424.3699951171875,1045100000,0.0,0.0,,,,0,39.22531404531128,1425.9625061035156,27.023289722152096,0,1353.151495361328,0.03,-0.000421044371651913,-0.0,-0.011787471837044872
2000-02-07,1424.3699951171875,1427.1500244140625,1413.3299560546875,1424.239990234375,918100000,0.0,0.0,,,,0,41.38603174127842,1425.101007080078,26.776411016929845,0,1353.027990722656,0.03,-9.127184878798822e-05,-0.0,0.016203692010005044
2000-02-08,1424.239990234375,1441.8299560546875,1424.239990234375,1441.719970703125,1047700000,0.0,0.0,,,,0,46.38411442039934,1424.3070068359375,25.985771230272483,1,1369.6339721679688,0.03,0.012273198750635705,0.0,0.02247465709794305
2000-02-09,1441.719970703125,1444.550048828125,1411.6500244140625,1411.7099609375,1050500000,0.0,0.0,,,,0,42.153317812396566,1422.964501953125,25.904110135121957,0,1341.124462890625,0.03,-0.02081542211764542,-0.02081542211764542,0.005426999197117421
2000-02-10,1411.699951171875,1422.0999755859375,1406.4300537109375,1416.8299560546875,1058800000,0.0,0.0,,,,0,44.33930905485194,1422.1934997558594,25.842599274103275,0,1345.988458251953,0.03,0.0036268038470079755,0.0,0.013063362812826051
2000-02-11,1416.8299560546875,1416.8299560546875,1378.8900146484375,1387.1199951171875,1025700000,0.0,0.0,,,,0,46.511730987785874,1419.065496826172,26.12511479737723,0,1317.7639953613282,0.03,-0.02096932014356223,-0.0,0.01982116828903857
